Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",104.346447,-50.853553,-45.000000,top
"C2","100nF","C_0402_1005Metric",105.053553,-50.146447,-45.000000,top
"C3","100nF","C_0402_1005Metric",109.346447,-50.853553,-45.000000,top
"C4","100nF","C_0402_1005Metric",110.053553,-50.146447,-45.000000,top
"C5","100nF","C_0402_1005Metric",113.346447,-50.853553,-45.000000,top
"C6","100nF","C_0402_1005Metric",114.053553,-50.146447,-45.000000,top
"C7","100nF","C_0402_1005Metric",117.346447,-50.853553,-45.000000,top
"C8","100nF","C_0402_1005Metric",118.053553,-50.146447,-45.000000,top
"C16","10uF","C_1206_3216Metric",78.400000,-60.850000,180.000000,top
"C17","2.7nF","C_0402_1005Metric",79.925000,-50.105000,-90.000000,top
"C18","100nF","C_0402_1005Metric",77.050000,-59.200000,180.000000,top
"C19","100pF","C_0402_1005Metric",82.400000,-51.250000,-90.000000,top
"C20","22uF","C_0805_2012Metric",74.400000,-56.800000,0.000000,top
"C21","22uF","C_0805_2012Metric",71.700000,-57.550000,-90.000000,top
"C22","22uF","C_0805_2012Metric",69.700000,-57.550000,-90.000000,top
"C23","22uF","C_0805_2012Metric",67.700000,-57.550000,-90.000000,top
"C25","15pF","C_0402_1005Metric",80.500000,-51.650000,180.000000,top
"L2","10uH","L_Bourns_SRP1038C_10.0x10.0mm",71.900000,-50.300000,180.000000,top
"R1","100k","R_0402_1005Metric",83.900000,-58.200000,90.000000,top
"R2","37.4k","R_0402_1005Metric",81.075000,-50.100000,90.000000,top
"R3","309k","R_0402_1005Metric",83.900000,-52.300000,-90.000000,top
"R4","22.1k","R_0402_1005Metric",83.900000,-54.300000,-90.000000,top
"U2","AP64500SP-13","SO-8EP_DIO",80.500000,-56.000000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",104.450000,-43.600000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",124.450000,-43.600000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",84.450000,-43.600000,0.000000,top
